age,gender,device_type,browsing_history,time_of_day,click,Category
22.0,Male,Desktop,Shopping,Afternoon,1,Health and Wellness
45.0,Male,Desktop,News,Morning,1,Automotive and Accessories
41.0,Male,Tablet,Education,Night,1,Pet Supplies
34.0,Male,Mobile,Entertainment,Evening,1,Health and Wellness
39.0,Male,Mobile,Social Media,Morning,0,Automotive and Accessories
18.0,Male,Desktop,Social Media,Evening,1,Electronics
26.0,Female,Desktop,Education,Morning,1,Fashion and Apparel
40.0,Male,Mobile,Education,Evening,0,Health and Wellness
18.0,Female,Mobile,Social Media,Afternoon,1,Sports and Outdoor Gear
25.0,Male,Mobile,Education,Afternoon,1,Pet Supplies
18.0,Female,Tablet,News,Morning,1,Books and Stationery
47.0,Male,Mobile,Shopping,Afternoon,1,Pet Supplies
45.0,Male,Mobile,Education,Afternoon,0,Books and Stationery
19.0,Male,Desktop,Shopping,Morning,1,Home and Kitchen
35.0,Female,Mobile,News,Morning,1,Books and Stationery
25.0,Female,Mobile,Entertainment,Afternoon,0,Toys and Games
45.0,Male,Tablet,Social Media,Night,1,Pet Supplies
56.0,Female,Tablet,News,Morning,1,Pet Supplies
18.0,Male,Desktop,Entertainment,Evening,1,Pet Supplies
24.0,Female,Tablet,Entertainment,Night,0,Electronics
45.0,Male,Mobile,News,Afternoon,1,Fashion and Apparel
52.0,Male,Tablet,News,Morning,1,Automotive and Accessories
39.0,Male,Desktop,Education,Evening,1,Books and Stationery
42.0,Female,Desktop,Entertainment,Night,1,Home and Kitchen
36.0,Male,Tablet,Shopping,Afternoon,1,Health and Wellness
43.0,Male,Tablet,Education,Afternoon,1,Electronics
62.0,Male,Mobile,Entertainment,Night,0,Books and Stationery
45.0,Male,Desktop,Education,Morning,1,Electronics
37.0,Female,Tablet,Entertainment,Evening,1,Electronics
25.0,Male,Desktop,Entertainment,Morning,1,Fashion and Apparel
31.0,Male,Tablet,Shopping,Morning,1,Books and Stationery
26.0,Female,Mobile,Social Media,Afternoon,1,Toys and Games
18.0,Male,Tablet,Entertainment,Evening,1,Sports and Outdoor Gear
37.0,Male,Mobile,News,Evening,0,Books and Stationery
25.0,Male,Mobile,Entertainment,Afternoon,0,Toys and Games
24.0,Female,Mobile,News,Night,1,Health and Wellness
58.0,Male,Mobile,News,Evening,1,Toys and Games
59.0,Female,Tablet,News,Morning,1,Health and Wellness
26.0,Female,Tablet,Entertainment,Morning,1,Fashion and Apparel
